Title,NOC4,Statistics,Average
Plumbers [7251] ,7251,Average offered hourly wage (dollars) (5),23.975
Graphic designers and illustrators [5241] ,5241,Average offered hourly wage (dollars) (5),24.0375
Other technical occupations in therapy and assessment [3237] ,3237,Average offered hourly wage (dollars) (5),24.0375
"Supervisors, library, correspondence and related information workers [1213] ",1213,Average offered hourly wage (dollars) (5),24.11666667
"Supervisors, plastic and rubber products manufacturing [9214] ",9214,Average offered hourly wage (dollars) (5),24.11666667
Other professional occupations in therapy and assessment [3144] ,3144,Average offered hourly wage (dollars) (5),24.2125
"Contractors and supervisors, other construction trades, installers, repairers and servicers [7205] ",7205,Average offered hourly wage (dollars) (5),24.3375
Industrial engineering and manufacturing technologists and technicians [2233] ,2233,Average offered hourly wage (dollars) (5),24.4125
"Plasterers, drywall installers and finishers and lathers [7284] ",7284,Average offered hourly wage (dollars) (5),24.425
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244] ",2244,Average offered hourly wage (dollars) (5),24.4625
Concrete finishers [7282] ,7282,Average offered hourly wage (dollars) (5),24.5
Telecommunications line and cable workers [7245] ,7245,Average offered hourly wage (dollars) (5),24.5
Technical sales specialists - wholesale trade [6221] ,6221,Average offered hourly wage (dollars) (5),24.5125
"Supervisors, food and beverage processing [9213] ",9213,Average offered hourly wage (dollars) (5),24.525
"By-law enforcement and other regulatory officers, not elsewhere classified (n.e.c.) [4423] ",4423,Average offered hourly wage (dollars) (5),24.55
"Supervisors, other products manufacturing and assembly [9227] ",9227,Average offered hourly wage (dollars) (5),24.58333333
Archivists [5113] ,5113,Average offered hourly wage (dollars) (5),24.61666667
Sheet metal workers [7233] ,7233,Average offered hourly wage (dollars) (5),24.7
Tilesetters [7283] ,7283,Average offered hourly wage (dollars) (5),24.7875
"Supervisors, electrical products manufacturing [9223] ",9223,Average offered hourly wage (dollars) (5),24.8
Electricians (except industrial and power system) [7241] ,7241,Average offered hourly wage (dollars) (5),24.8875
Licensed practical nurses [3233] ,3233,Average offered hourly wage (dollars) (5),24.925
"Supervisors, general office and administrative support workers [1211] ",1211,Average offered hourly wage (dollars) (5),24.925
Executive assistants [1222] ,1222,Average offered hourly wage (dollars) (5),24.9375
"Patternmakers - textile, leather and fur products [5245] ",5245,Average offered hourly wage (dollars) (5),24.95
"Education policy researchers, consultants and program officers [4166] ",4166,Average offered hourly wage (dollars) (5),25.05
Information systems testing technicians [2283] ,2283,Average offered hourly wage (dollars) (5),25.05
Electrical and electronics engineering technologists and technicians [2241] ,2241,Average offered hourly wage (dollars) (5),25.1125
Other religious occupations [4217] ,4217,Average offered hourly wage (dollars) (5),25.15
Civil engineering technologists and technicians [2231] ,2231,Average offered hourly wage (dollars) (5),25.2625
"Securities agents, investment dealers and brokers [1113] ",1113,Average offered hourly wage (dollars) (5),25.3875
Paramedical occupations [3234] ,3234,Average offered hourly wage (dollars) (5),25.45
Professional occupations in religion [4154] ,4154,Average offered hourly wage (dollars) (5),25.53333333
Court clerks [1416] ,1416,Average offered hourly wage (dollars) (5),25.55
"Family, marriage and other related counsellors [4153] ",4153,Average offered hourly wage (dollars) (5),25.5625
"Supervisors, finance and insurance office workers [1212] ",1212,Average offered hourly wage (dollars) (5),25.6625
Oil and solid fuel heating mechanics [7331] ,7331,Average offered hourly wage (dollars) (5),25.66666667
Real estate agents and salespersons [6232] ,6232,Average offered hourly wage (dollars) (5),25.675
"Supervisors, motor transport and other ground transit operators [7305] ",7305,Average offered hourly wage (dollars) (5),25.7
"Heating, refrigeration and air conditioning mechanics [7313] ",7313,Average offered hourly wage (dollars) (5),25.725
Librarians [5111] ,5111,Average offered hourly wage (dollars) (5),25.73333333
Paralegal and related occupations [4211] ,4211,Average offered hourly wage (dollars) (5),25.9
Firefighters [4312] ,4312,Average offered hourly wage (dollars) (5),25.925
"Agricultural representatives, consultants and specialists [2123] ",2123,Average offered hourly wage (dollars) (5),26.01666667
Crane operators [7371] ,7371,Average offered hourly wage (dollars) (5),26.13333333
Authors and writers [5121] ,5121,Average offered hourly wage (dollars) (5),26.175
Insulators [7293] ,7293,Average offered hourly wage (dollars) (5),26.2
Graphic arts technicians [5223] ,5223,Average offered hourly wage (dollars) (5),26.275
Construction millwrights and industrial mechanics [7311] ,7311,Average offered hourly wage (dollars) (5),26.2875
Mechanical engineering technologists and technicians [2232] ,2232,Average offered hourly wage (dollars) (5),26.4875
Insurance adjusters and claims examiners [1312] ,1312,Average offered hourly wage (dollars) (5),26.5375
Underground production and development miners [8231] ,8231,Average offered hourly wage (dollars) (5),26.65
Broadcast technicians [5224] ,5224,Average offered hourly wage (dollars) (5),26.675
Gas fitters [7253] ,7253,Average offered hourly wage (dollars) (5),26.8375
Underground mine service and support workers [8411] ,8411,Average offered hourly wage (dollars) (5),26.925
Other financial officers [1114] ,1114,Average offered hourly wage (dollars) (5),26.925
Heavy-duty equipment mechanics [7312] ,7312,Average offered hourly wage (dollars) (5),26.9375
"Recreation, sports and fitness program and service directors [0513] ",513,Average offered hourly wage (dollars) (5),26.9875
Health information management occupations [1252] ,1252,Average offered hourly wage (dollars) (5),27.1
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214] ",3214,Average offered hourly wage (dollars) (5),27.1125
Geological and mineral technologists and technicians [2212] ,2212,Average offered hourly wage (dollars) (5),27.15
Property administrators [1224] ,1224,Average offered hourly wage (dollars) (5),27.15
"Contractors and supervisors, carpentry trades [7204] ",7204,Average offered hourly wage (dollars) (5),27.1625
"Assessors, valuators and appraisers [1314] ",1314,Average offered hourly wage (dollars) (5),27.175
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations [7201] ",7201,Average offered hourly wage (dollars) (5),27.2
"Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217] ",3217,Average offered hourly wage (dollars) (5),27.2
Computer network technicians [2281] ,2281,Average offered hourly wage (dollars) (5),27.2625
"Supervisors, other mechanical and metal products manufacturing [9226] ",9226,Average offered hourly wage (dollars) (5),27.275
"Oil and gas well drillers, servicers, testers and related workers [8232] ",8232,Average offered hourly wage (dollars) (5),27.35
Logging machinery operators [8241] ,8241,Average offered hourly wage (dollars) (5),27.46666667
Social workers [4152] ,4152,Average offered hourly wage (dollars) (5),27.4875
"Contractors and supervisors, pipefitting trades [7203] ",7203,Average offered hourly wage (dollars) (5),27.525
"Social policy researchers, consultants and program officers [4164] ",4164,Average offered hourly wage (dollars) (5),27.525
Massage therapists [3236] ,3236,Average offered hourly wage (dollars) (5),27.5625
Court officers and justices of the peace [1227] ,1227,Average offered hourly wage (dollars) (5),27.85
Police officers (except commissioned) [4311] ,4311,Average offered hourly wage (dollars) (5),27.975
"Contractors and supervisors, heavy equipment operator crews [7302] ",7302,Average offered hourly wage (dollars) (5),28.0375
Medical laboratory technologists [3211] ,3211,Average offered hourly wage (dollars) (5),28.0375
Medical radiation technologists [3215] ,3215,Average offered hourly wage (dollars) (5),28.0375
Land surveyors [2154] ,2154,Average offered hourly wage (dollars) (5),28.0625
Landscape architects [2152] ,2152,Average offered hourly wage (dollars) (5),28.075
"Central control and process operators, petroleum, gas and chemical processing [9232] ",9232,Average offered hourly wage (dollars) (5),28.15
Technical occupations in geomatics and meteorology [2255] ,2255,Average offered hourly wage (dollars) (5),28.225
Other professional occupations in health diagnosing and treating [3125] ,3125,Average offered hourly wage (dollars) (5),28.45
Facility operation and maintenance managers [0714] ,714,Average offered hourly wage (dollars) (5),28.55
Financial auditors and accountants [1111] ,1111,Average offered hourly wage (dollars) (5),28.875
"Natural and applied science policy researchers, consultants and program officers [4161] ",4161,Average offered hourly wage (dollars) (5),28.9
Insurance underwriters [1313] ,1313,Average offered hourly wage (dollars) (5),29.175
Purchasing agents and officers [1225] ,1225,Average offered hourly wage (dollars) (5),29.2875
Web designers and developers [2175] ,2175,Average offered hourly wage (dollars) (5),29.3375
College and other vocational instructors [4021] ,4021,Average offered hourly wage (dollars) (5),29.3625
Chemists [2112] ,2112,Average offered hourly wage (dollars) (5),29.575
"Supervisors, motor vehicle assembling [9221] ",9221,Average offered hourly wage (dollars) (5),29.7125
Government managers - education policy development and program administration [0413] ,413,Average offered hourly wage (dollars) (5),29.9375
Human resources professionals [1121] ,1121,Average offered hourly wage (dollars) (5),29.9625
Postal and courier services managers [0132] ,132,Average offered hourly wage (dollars) (5),30.1
Construction inspectors [2264] ,2264,Average offered hourly wage (dollars) (5),30.1125
Construction estimators [2234] ,2234,Average offered hourly wage (dollars) (5),30.2875
Electrical power line and cable workers [7244] ,7244,Average offered hourly wage (dollars) (5),30.3
Inspectors in public and environmental health and occupational health and safety [2263] ,2263,Average offered hourly wage (dollars) (5),30.4125
"Steamfitters, pipefitters and sprinkler system installers [7252] ",7252,Average offered hourly wage (dollars) (5),30.425
Business development officers and marketing researchers and consultants [4163] ,4163,Average offered hourly wage (dollars) (5),30.525
Forestry professionals [2122] ,2122,Average offered hourly wage (dollars) (5),30.53333333
"Managers - publishing, motion pictures, broadcasting and performing arts [0512] ",512,Average offered hourly wage (dollars) (5),30.5625
"Contractors and supervisors, oil and gas drilling and services [8222] ",8222,Average offered hourly wage (dollars) (5),30.6625
"Air pilots, flight engineers and flying instructors [2271] ",2271,Average offered hourly wage (dollars) (5),30.85
Power system electricians [7243] ,7243,Average offered hourly wage (dollars) (5),30.95
Biologists and related scientists [2121] ,2121,Average offered hourly wage (dollars) (5),31.0125
"Health policy researchers, consultants and program officers [4165] ",4165,Average offered hourly wage (dollars) (5),31.0125
Corporate sales managers [0601] ,601,Average offered hourly wage (dollars) (5),31.025
Industrial electricians [7242] ,7242,Average offered hourly wage (dollars) (5),31.0625
Industrial instrument technicians and mechanics [2243] ,2243,Average offered hourly wage (dollars) (5),31.075
Power engineers and power systems operators [9241] ,9241,Average offered hourly wage (dollars) (5),31.1375
"Contractors and supervisors, mechanic trades [7301] ",7301,Average offered hourly wage (dollars) (5),31.45
Registered nurses and registered psychiatric nurses [3012] ,3012,Average offered hourly wage (dollars) (5),31.6375
Financial and investment analysts [1112] ,1112,Average offered hourly wage (dollars) (5),31.775
"Other professional occupations in social science, not elsewhere classified (n.e.c.) [4169] ",4169,Average offered hourly wage (dollars) (5),31.91666667
Dietitians and nutritionists [3132] ,3132,Average offered hourly wage (dollars) (5),31.9375
Audiologists and speech-language pathologists [3141] ,3141,Average offered hourly wage (dollars) (5),32.0375
Industrial and manufacturing engineers [2141] ,2141,Average offered hourly wage (dollars) (5),32.05
Urban and land use planners [2153] ,2153,Average offered hourly wage (dollars) (5),32.25
Mechanical engineers [2132] ,2132,Average offered hourly wage (dollars) (5),32.4125
Aerospace engineers [2146] ,2146,Average offered hourly wage (dollars) (5),32.475
Occupational therapists [3143] ,3143,Average offered hourly wage (dollars) (5),32.4875
Engineering inspectors and regulatory officers [2262] ,2262,Average offered hourly wage (dollars) (5),32.5375
Nursing co-ordinators and supervisors [3011] ,3011,Average offered hourly wage (dollars) (5),32.7
Information systems analysts and consultants [2171] ,2171,Average offered hourly wage (dollars) (5),32.8875
"Supervisors, petroleum, gas and chemical processing and utilities [9212] ",9212,Average offered hourly wage (dollars) (5),32.9125
Dental hygienists and dental therapists [3222] ,3222,Average offered hourly wage (dollars) (5),32.9625
Medical sonographers [3216] ,3216,Average offered hourly wage (dollars) (5),33.0875
"Producers, directors, choreographers and related occupations [5131] ",5131,Average offered hourly wage (dollars) (5),33.125
"Supervisors, mineral and metal processing [9211] ",9211,Average offered hourly wage (dollars) (5),33.2
Database analysts and data administrators [2172] ,2172,Average offered hourly wage (dollars) (5),33.3625
"Deck officers, water transport [2273] ",2273,Average offered hourly wage (dollars) (5),33.4
"Supervisors, forest products processing [9215] ",9215,Average offered hourly wage (dollars) (5),33.475
Economists and economic policy researchers and analysts [4162] ,4162,Average offered hourly wage (dollars) (5),33.5625
Professional occupations in business management consulting [1122] ,1122,Average offered hourly wage (dollars) (5),33.6
Computer programmers and interactive media developers [2174] ,2174,Average offered hourly wage (dollars) (5),33.925
"Other professional engineers, not elsewhere classified (n.e.c.) [2148] ",2148,Average offered hourly wage (dollars) (5),33.9375
Non-destructive testers and inspection technicians [2261] ,2261,Average offered hourly wage (dollars) (5),34.225
"Banking, credit and other investment managers [0122] ",122,Average offered hourly wage (dollars) (5),34.5125
"Managers in social, community and correctional services [0423] ",423,Average offered hourly wage (dollars) (5),34.55
Metallurgical and materials engineers [2142] ,2142,Average offered hourly wage (dollars) (5),34.65
Physiotherapists [3142] ,3142,Average offered hourly wage (dollars) (5),34.7375
Other administrative services managers [0114] ,114,Average offered hourly wage (dollars) (5),34.9375
"Mathematicians, statisticians and actuaries [2161] ",2161,Average offered hourly wage (dollars) (5),34.95
Construction managers [0711] ,711,Average offered hourly wage (dollars) (5),35.15
Program officers unique to government [4168] ,4168,Average offered hourly wage (dollars) (5),35.375
Other professional occupations in physical sciences [2115] ,2115,Average offered hourly wage (dollars) (5),35.475
"Supervisors, logging and forestry [8211] ",8211,Average offered hourly wage (dollars) (5),35.675
Psychologists [4151] ,4151,Average offered hourly wage (dollars) (5),35.75
"Contractors and supervisors, electrical trades and telecommunications occupations [7202] ",7202,Average offered hourly wage (dollars) (5),35.7625
Electrical and electronics engineers [2133] ,2133,Average offered hourly wage (dollars) (5),36
Geoscientists and oceanographers [2113] ,2113,Average offered hourly wage (dollars) (5),36.425
Veterinarians [3114] ,3114,Average offered hourly wage (dollars) (5),37.45
Civil engineers [2131] ,2131,Average offered hourly wage (dollars) (5),37.5125
Chemical engineers [2134] ,2134,Average offered hourly wage (dollars) (5),37.8625
Software engineers and designers [2173] ,2173,Average offered hourly wage (dollars) (5),38.4125
Government managers - health and social policy development and program administration [0411] ,411,Average offered hourly wage (dollars) (5),38.425
"Advertising, marketing and public relations managers [0124] ",124,Average offered hourly wage (dollars) (5),38.4625
Computer engineers (except software engineers and designers) [2147] ,2147,Average offered hourly wage (dollars) (5),39
Lawyers and Quebec notaries [4112] ,4112,Average offered hourly wage (dollars) (5),39
Manufacturing managers [0911] ,911,Average offered hourly wage (dollars) (5),39.125
Architects [2151] ,2151,Average offered hourly wage (dollars) (5),39.2125
University professors and lecturers [4011] ,4011,Average offered hourly wage (dollars) (5),39.675
Other business services managers [0125] ,125,Average offered hourly wage (dollars) (5),39.9375
Allied primary health practitioners [3124] ,3124,Average offered hourly wage (dollars) (5),40.1
Human resources managers [0112] ,112,Average offered hourly wage (dollars) (5),40.175
"Library, archive, museum and art gallery managers [0511] ",511,Average offered hourly wage (dollars) (5),40.525
Managers in health care [0311] ,311,Average offered hourly wage (dollars) (5),40.75
Physicists and astronomers [2111] ,2111,Average offered hourly wage (dollars) (5),40.8
"Insurance, real estate and financial brokerage managers [0121] ",121,Average offered hourly wage (dollars) (5),40.925
Financial managers [0111] ,111,Average offered hourly wage (dollars) (5),41.1375
Bricklayers [7281] ,7281,Average offered hourly wage (dollars) (5),41.5
Managers in transportation [0731] ,731,Average offered hourly wage (dollars) (5),41.75
"Supervisors, mining and quarrying [8221] ",8221,Average offered hourly wage (dollars) (5),42.1
Purchasing managers [0113] ,113,Average offered hourly wage (dollars) (5),42.2875
Pharmacists [3131] ,3131,Average offered hourly wage (dollars) (5),42.7875
Telecommunication carriers managers [0131] ,131,Average offered hourly wage (dollars) (5),43.15
Administrators - post-secondary education and vocational training [0421] ,421,Average offered hourly wage (dollars) (5),43.5625
"Government managers - economic analysis, policy development and program administration [0412] ",412,Average offered hourly wage (dollars) (5),43.8
Other managers in public administration [0414] ,414,Average offered hourly wage (dollars) (5),43.8625
School principals and administrators of elementary and secondary education [0422] ,422,Average offered hourly wage (dollars) (5),43.875
Computer and information systems managers [0213] ,213,Average offered hourly wage (dollars) (5),43.9625
Dentists [3113] ,3113,Average offered hourly wage (dollars) (5),44.9
Architecture and science managers [0212] ,212,Average offered hourly wage (dollars) (5),44.9875
Senior government managers and officials [0012] ,12,Average offered hourly wage (dollars) (5),45.175
Utilities managers [0912] ,912,Average offered hourly wage (dollars) (5),45.1875
Specialist physicians [3111] ,3111,Average offered hourly wage (dollars) (5),46.85
Geological engineers [2144] ,2144,Average offered hourly wage (dollars) (5),46.9875
Fire chiefs and senior firefighting officers [0432] ,432,Average offered hourly wage (dollars) (5),47.05
Petroleum engineers [2145] ,2145,Average offered hourly wage (dollars) (5),48.475
Commissioned police officers [0431] ,431,Average offered hourly wage (dollars) (5),49.9
Engineering managers [0211] ,211,Average offered hourly wage (dollars) (5),52.175
Mining engineers [2143] ,2143,Average offered hourly wage (dollars) (5),52.78333333
"Senior managers - health, education, social and community services and membership organizations [0014] ",14,Average offered hourly wage (dollars) (5),53.075
Managers in natural resources production and fishing [0811] ,811,Average offered hourly wage (dollars) (5),55.125
"Senior managers - financial, communications and other business services [0013] ",13,Average offered hourly wage (dollars) (5),63.8375
"Senior managers - trade, broadcasting and other services, not elsewhere classified (n.e.c.) [0015] ",15,Average offered hourly wage (dollars) (5),69.25
"Senior managers - construction, transportation, production and utilities [0016] ",16,Average offered hourly wage (dollars) (5),71.7625
General practitioners and family physicians [3112] ,3112,Average offered hourly wage (dollars) (5),81.6
Actors and comedians [5135] ,5135,Average offered hourly wage (dollars) (5),
Aquaculture and marine harvest labourers [8613] ,8613,Average offered hourly wage (dollars) (5),
Athletes [5251] ,5251,Average offered hourly wage (dollars) (5),
Boat assemblers and inspectors [9531] ,9531,Average offered hourly wage (dollars) (5),
Boilermakers [7234] ,7234,Average offered hourly wage (dollars) (5),
Cable television service and maintenance technicians [7247] ,7247,Average offered hourly wage (dollars) (5),
"Camera, platemaking and other prepress occupations [9472] ",9472,Average offered hourly wage (dollars) (5),
"Central control and process operators, mineral and metal processing [9231] ",9231,Average offered hourly wage (dollars) (5),
Chiropractors [3122] ,3122,Average offered hourly wage (dollars) (5),
Commissioned officers of the Canadian Armed Forces [0433] ,433,Average offered hourly wage (dollars) (5),
"Conductors, composers and arrangers [5132] ",5132,Average offered hourly wage (dollars) (5),
Correctional service officers [4422] ,4422,Average offered hourly wage (dollars) (5),
"Couriers, messengers and door-to-door distributors [1513] ",1513,Average offered hourly wage (dollars) (5),
Denturists [3221] ,3221,Average offered hourly wage (dollars) (5),
Educational counsellors [4033] ,4033,Average offered hourly wage (dollars) (5),
Elementary school and kindergarten teachers [4032] ,4032,Average offered hourly wage (dollars) (5),
Elevator constructors and mechanics [7318] ,7318,Average offered hourly wage (dollars) (5),
"Engineer officers, water transport [2274] ",2274,Average offered hourly wage (dollars) (5),
"Fabric, fur and leather cutters [9445] ",9445,Average offered hourly wage (dollars) (5),
Fishermen/women [8262] ,8262,Average offered hourly wage (dollars) (5),
Fishing masters and officers [8261] ,8261,Average offered hourly wage (dollars) (5),
Fishing vessel deckhands [8441] ,8441,Average offered hourly wage (dollars) (5),
"Ground and water transport ticket agents, cargo service representatives and related clerks [6524] ",6524,Average offered hourly wage (dollars) (5),
"Image, social and other personal consultants [6561] ",6561,Average offered hourly wage (dollars) (5),
"Jewellers, jewellery and watch repairers and related occupations [6344] ",6344,Average offered hourly wage (dollars) (5),
Judges [4111] ,4111,Average offered hourly wage (dollars) (5),
Legislators [0011] ,11,Average offered hourly wage (dollars) (5),
Letter carriers [1512] ,1512,Average offered hourly wage (dollars) (5),
Logging and forestry labourers [8616] ,8616,Average offered hourly wage (dollars) (5),
Machine fitters [7316] ,7316,Average offered hourly wage (dollars) (5),
"Mail, postal and related workers [1511] ",1511,Average offered hourly wage (dollars) (5),
Managers in aquaculture [0823] ,823,Average offered hourly wage (dollars) (5),
Meteorologists and climatologists [2114] ,2114,Average offered hourly wage (dollars) (5),
Non-commissioned ranks of the Canadian Armed Forces [4313] ,4313,Average offered hourly wage (dollars) (5),
Optometrists [3121] ,3121,Average offered hourly wage (dollars) (5),
Other personal service occupations [6564] ,6564,Average offered hourly wage (dollars) (5),
Practitioners of natural healing [3232] ,3232,Average offered hourly wage (dollars) (5),
Probation and parole officers and related occupations [4155] ,4155,Average offered hourly wage (dollars) (5),
"Pulping, papermaking and coating control operators [9235] ",9235,Average offered hourly wage (dollars) (5),
Pursers and flight attendants [6522] ,6522,Average offered hourly wage (dollars) (5),
Railway and yard locomotive engineers [7361] ,7361,Average offered hourly wage (dollars) (5),
Railway carmen/women [7314] ,7314,Average offered hourly wage (dollars) (5),
Railway conductors and brakemen/women [7362] ,7362,Average offered hourly wage (dollars) (5),
Railway traffic controllers and marine traffic regulators [2275] ,2275,Average offered hourly wage (dollars) (5),
Railway yard and track maintenance workers [7531] ,7531,Average offered hourly wage (dollars) (5),
Secondary school teachers [4031] ,4031,Average offered hourly wage (dollars) (5),
Sheriffs and bailiffs [4421] ,4421,Average offered hourly wage (dollars) (5),
Shoe repairers and shoemakers [6343] ,6343,Average offered hourly wage (dollars) (5),
Sports officials and referees [5253] ,5253,Average offered hourly wage (dollars) (5),
"Supervisors, railway transport operations [7304] ",7304,Average offered hourly wage (dollars) (5),
Trappers and hunters [8442] ,8442,Average offered hourly wage (dollars) (5),
Water well drillers [7373] ,7373,Average offered hourly wage (dollars) (5),
